X	Y	Ag	As	Au	Cu	Pb	Sb	Zn
714009	4089140	0.59	17	1	24.3	26.5	1.5	58.6
712555	4085550	0.55	23	1	23.1	34.8	2	101.5
707966	4086740	0.39	25	3	46.3	22.5	1	70.2
703937	4084120	0.4	25	7	31.7	20.8	1.5	53.2
702597	4083840	0.44	16	1	21.8	19.2	1.5	40.5
701202	4083960	0.36	13	1	34.6	24.3	1.5	57.4
700538	4090200	0.8	9	10	28.2	56	1.5	73
706944	4083730	0.54	13	2	37.2	21.9	0.3	50.9
706501	4083760	0.52	14	1	21.2	38.3	1.5	55.8
705890	4078570	0.55	16	1	36.6	26.3	0.9	95.9
702949	4081020	0.08	150	4	110	12.9	2.5	63.4
703164	4072700	0.08	60	10	23.7	17	3	49.5
719235	4082190	0.13	15	4	26	35.7	2.5	131.5
717495	4080960	0.1	15	3	31.5	22.3	1.5	59.4
713524	4078440	0.12	10	2	48.3	17.7	0.9	55.9
718245	4078490	0.15	8	1	23.7	18.2	0.8	75.8
714099	4074380	0.08	21	2	36	63.7	1	110.8
719982	4075120	0.17	13	1	28.4	27	1.5	76.6
723136	4075100	0.18	12	1	46.1	38.2	0.8	103.3
723092	4072990	0.08	7	1	31.7	24.6	0.6	85.9
722263	4071610	0.1	10	1	42.5	17.6	0.3	80.7
702662	4069060	0.11	7	1	13.6	38.4	0.6	92.6
723296	4065470	0.08	10	2	25.4	70.5	1.5	115.8
716056	4065490	0.08	14	2	41.4	63.5	1.5	109
717570	4062550	0.08	28	1	14.2	50.6	1.5	69
713821	4063910	0.08	20	5	17	68.52	1.5	115
710193	4060910	0.08	8	2	44.3	24.5	0.45	128
709309	4060520	0.08	10	1	44	61.3	0.5	136
713650	4062550	0.08	33	1	24.8	243.5	2.5	153
713825	4062470	0.08	40	1	20	111.2	2.5	101
723728	4050190	1.46	295	1	16	2460	18	4697
720859	4052890	1.64	135	1	15	1513	18	1526
717302	4054190	0.14	8	1	16.3	23.1	0.55	71
723136	4048480	0.29	9	1	18.8	125	0.7	134
713968	4050440	0.13	32	1	57.3	32.4	3	93
712184	4051070	0.16	30	4	49.3	36.3	2.5	101
714358	4042130	0.18	60	5	52.7	57.6	1.5	216
711478	4042300	0.15	65	6	27.9	69.3	1.5	149
707650	4042020	0.2	125	41	48	31.4	4	180
706603	4044060	0.2	90	3	37.3	43.1	3.5	393.1
701879	4053070	0.12	23	2	18.5	18.5	0.95	75
703434	4055490	0.12	15	1	13.5	35.1	0.8	60
706518	4053880	0.21	14	2	33.6	12.8	0.5	135
707010	4052020	0.2	48	2	14.3	20.6	100	99
707010	4051790	0.15	30	3	37.7	18.7	8	86
684210	4042480	0.17	185	55	20.4	87.6	19	145.7
684689	4044990	0.14	7.5	1	18.1	11.4	0.5	55.5
691500	4048320	0.08	7	2	22.4	9.3	0.6	47.8
682848	4049500	0.08	90	2	13.9	15.4	2.5	58.2
684925	4049270	0.08	10	1	16.6	10.1	0.5	51.6
685761	4052070	0.1	35	2	17.1	66.7	7.5	55.2
682027	4056830	0.27	1570	120	23	431.3	500	256.3
684182	4059830	0.11	135	5	18.9	76.1	12	64.3
684031	4060830	0.17	120	1	27.8	46.6	3	68.8
682450	4060700	0.34	330	26	45.4	182.6	95	183.4
680831	4062080	0.22	100	7	30	58.1	19	120.2
681625	4065010	0.08	110	3	24.1	29.2	8.5	90.2
682995	4061380	0.38	65	3	80.2	144.6	22	199.8
689957	4057420	0.08	30	1	24.7	20.7	2.5	77.5
689110	4059750	0.08	25	3	21.8	27.1	1.5	79
689265	4060040	0.44	175	29	20.7	103.6	30	298
687435	4066210	0.86	225	22	50.74	541.3	57	389
686454	4067070	0.36	175	8	28.6	188.3	28	738
689899	4066040	1.37	3800	300	51.5	298.9	450	4196
693006	4061150	0.25	25	2	21	20.3	3	78
693110	4056420	0.26	75	4	27.7	44.9	3.5	93
694216	4059060	0.28	95	1	20.9	44.2	2.5	131
694195	4068170	0.31	8	1	14.3	13.7	1	84
694355	4067140	0.34	65	2	21.2	116.1	4.5	171
694998	4053980	0.26	40	2	30.7	23.5	1.5	108
687886	4042000	0.08	12	1	13	15.1	2.5	50
690538	4044390	0.11	14	1	22.1	17	0.9	52.1
699230	4049110	0.11	48	2	28.3	27.5	2.5	86.9
680476	4096770	0.08	165	1	13.3	15.5	0.55	68.6
682332	4095220	0.18	150	2	18.15	41	5.5	105
684813	4094250	0.08	145	2	13.3	44.5	5.5	131.6
681825	4093900	0.11	35	1	16.2	37.4	1	106.8
681991	4090180	0.2	13	1	12.9	46	0.8	209.1
683389	4088010	0.11	23	1	11.2	49.1	1.5	131.6
680693	4083740	1.06	13	1	46.1	135.5	8	151.1
683053	4085160	0.34	30	3	76.8	92.1	5.5	183.7
682405	4081050	0.08	12	4	21.6	16.4	0.6	65.8
686907	4082900	0.14	14	2	17.1	27.1	0.95	102
685285	4075590	2.3	150	20	86.1	1355.2	34	1109
683094	4073220	0.17	64	4	25.2	46.2	3	78
682787	4069880	0.15	115	7	42.5	80.3	8	102
687537	4075300	0.38	55	7	47.9	159.7	11	201
685880	4072190	0.12	14	2	20.2	37.3	2	127
686722	4070240	0.08	30	15	30.9	82.4	5	48
689185	4095990	0.08	14	2	41.8	9.2	0.9	62
693366	4091180	0.08	9	2	35.1	12.4	0.75	78
694023	4096810	0.08	10	5	40	15.6	0.75	88
700234	4095750	0.08	5.5	3	36.9	24.2	0.5	74
695645	4085070	0.08	13.5	4	30.1	30.2	2	79.5
693005	4084540	0.08	25	4	27.4	21.5	1.5	76.2
694804	4085730	0.08	16	2	33.9	25.9	2.5	85.9
697712	4077400	0.08	22	3	21.4	35.4	2	65.1
694229	4080790	0.08	12	3	33.2	18.3	1.5	70.6
692316	4080240	0.08	11	2	39.9	15	1	78.4
700428	4070680	0.33	37	3	51.7	17	1	90.4
