"X" "Y" "res_abs"
714009 4089140 0.00122863867006179
712555 4085550 0.00169576668355503
707966 4086740 0.00158741751631328
703937 4084120 0.00113766625605703
702597 4083840 0.00304502046432328
701202 4083960 0.00360107656791253
700538 4090200 0.039980842712853
706944 4083730 0.00511694274736685
706501 4083760 0.00898378142361353
705890 4078570 0.000749244713107028
702949 4081020 0.00230906385663293
703164 4072700 0.0178101499061396
719235 4082190 0.00839092748964093
717495 4080960 0.00327091825640705
713524 4078440 0.0018838444832989
718245 4078490 0.000644984193684028
714099 4074380 5.21302597105144e-05
719982 4075120 0.00195335149624712
723136 4075100 0.000339357769100934
723092 4072990 0.00120819543095924
722263 4071610 0.00251962921938767
702662 4069060 0.0010282949268568
723296 4065470 0.000442596126571299
716056 4065490 0.000797286325000535
717570 4062550 0.00261877892903503
713821 4063910 0.00812720970521692
710193 4060910 0.00058058799051347
709309 4060520 0.00273326106800945
713650 4062550 0.00256664866932355
713825 4062470 0.000895413872690209
723728 4050190 0.00129610135910016
720859 4052890 0.00040784262009444
717302 4054190 0.00138502944919625
723136 4048480 0.000410909105959867
713968 4050440 0.00663076460291034
712184 4051070 0.000824884697787964
714358 4042130 0.0111180555859199
711478 4042300 0.014013840404797
707650 4042020 0.144716667444982
706603 4044060 0.00695172345682091
701879 4053070 0.0010252284409917
703434 4055490 0.00174483045740115
706518 4053880 0.00152302131314089
707010 4052020 0.0485414490870449
707010 4051790 0.000541745836218077
684210 4042480 0.143591267132397
684689 4044990 0.00302662154913091
691500 4048320 0.00259220271820412
682848 4049500 0.0131194486940593
684925 4049270 0.00232132980009297
685761 4052070 0.058496284368031
682027 4056830 0.159169015328551
684182 4059830 0.0487141944574619
684031 4060830 0.0453799021598355
682450 4060700 0.0749091388815103
680831 4062080 0.0138339399006941
681625 4065010 0.020748865527131
682995 4061380 0.000227942115992863
689957 4057420 0.0120676440422329
689110 4059750 0.00707847153925681
689265 4060040 0.0322573869799097
687435 4066210 0.0395821995503538
686454 4067070 0.0188088021362992
689899 4066040 0.640524501075214
693006 4061150 0.0267438453939527
693110 4056420 0.00487673468791294
694216 4059060 0.0704116262789506
694195 4068170 0.0255479159064531
694355 4067140 0.0310328369576672
694998 4053980 0.00109575761589764
687886 4042000 0.00401914080755969
690538 4044390 0.000572410694869963
699230 4049110 9.91497096483607e-05
680476 4096770 0.00232644060986859
682332 4095220 0.000292338319167557
684813 4094250 0.0012644143384915
681825 4093900 0.00170292181724094
681991 4090180 0.00531830865252655
683389 4088010 0.00254927191608645
680693 4083740 0.00513227517669337
683053 4085160 0.00254007245849219
682405 4081050 0.0101735779393834
686907 4082900 0.00224773413932416
685285 4075590 0.0588121324121644
683094 4073220 0.00261980109099175
682787 4069880 0.0194384539006575
687537 4075300 0.002520651381344
685880 4072190 0.00509854383217462
686722 4070240 0.103052323992036
689185 4095990 0.00163954777602324
693366 4091180 0.000726757150094459
694023 4096810 0.00450671206015568
700234 4095750 0.000619430144806643
695645 4085070 0.000420108563557342
693005 4084540 0.000178878342147221
694804 4085730 0.00159661697390795
697712 4077400 0.00492477629980323
694229 4080790 6.13297173082394e-05
692316 4080240 0.000352645874517804
700428 4070680 0.00940286782521646
